model,seed,head_r,body_r,tail_r
bprmf,42,0.015438733087600801,0.00614700258590907,0.0007694317818878662
bprmf,2026,0.013989701608285408,0.007723305235848646,0.00033003300330033004
bprmf,123,0.011594546325685188,0.0076948355555668336,0.003307623802673308
ngcf,42,0.014156837727189335,0.006102236560646643,0.0033971710050855483
ngcf,2026,0.01175257281522609,0.007472327051013827,0.001598682035691254
ngcf,123,0.017144550875736183,0.006333390225545215,0.0027545588660248515
lightgcn,42,0.020562346608378527,0.004115425653395164,0.00035360678925035356
lightgcn,2026,0.026627266944353453,0.0051378339403214835,0.00031938677738741617
lightgcn,123,0.018714248054166015,0.004419351387151134,0.0006394389438943894
