threshold,seed,n_users,n_items,recall@20,precision@20,ndcg@20,checkpoint
3.0,2026,101,4001,0.005395,0.044059,0.040823,checkpoints/lightgcn_th3_0_seed2026.pt
3.0,42,101,4001,0.005846,0.04802,0.047641,checkpoints/lightgcn_th3_0_seed42.pt
3.0,123,101,4001,0.006321,0.05198,0.048992,checkpoints/lightgcn_th3_0_seed123.pt
3.5,2026,101,4001,0.007289,0.04802,0.049935,checkpoints/lightgcn_th3_5_seed2026.pt
3.5,42,101,4001,0.005506,0.035644,0.038383,checkpoints/lightgcn_th3_5_seed42.pt
3.5,123,101,4001,0.005628,0.037129,0.037006,checkpoints/lightgcn_th3_5_seed123.pt
4.0,2026,101,3983,0.005901,0.028713,0.028214,checkpoints/lightgcn_th4_0_seed2026.pt
4.0,42,101,3983,0.005532,0.027228,0.029307,checkpoints/lightgcn_th4_0_seed42.pt
4.0,123,101,3983,0.006733,0.032673,0.031747,checkpoints/lightgcn_th4_0_seed123.pt
4.5,2026,101,3709,0.005062,0.015842,0.015259,checkpoints/lightgcn_th4_5_seed2026.pt
4.5,42,101,3709,0.006628,0.020792,0.018711,checkpoints/lightgcn_th4_5_seed42.pt
4.5,123,101,3709,0.005925,0.018317,0.019882,checkpoints/lightgcn_th4_5_seed123.pt
